reopen_id,ticket_id,reopen_timestamp,reopen_reason,reopen_sequence
1,50,2025-01-02 09:17:47,User could not validate fix,1
2,50,2025-01-04 08:41:47,Issue reoccurred,2
3,68,2025-01-06 11:21:45,Related symptom persisted,1
4,125,2025-01-03 15:55:17,User could not validate fix,1
5,165,2025-01-05 20:30:18,Incomplete resolution,1
6,188,2025-01-09 02:56:21,Incomplete resolution,1
7,240,2025-01-09 20:00:48,Issue reoccurred,1
8,240,2025-01-09 05:03:48,User could not validate fix,2
9,254,2025-01-04 14:20:44,User could not validate fix,1
10,254,2025-01-03 17:46:44,Related symptom persisted,2
11,292,2025-01-07 00:16:19,Incomplete resolution,1
12,339,2025-01-07 02:38:04,User could not validate fix,1
13,357,2025-01-09 16:28:50,User could not validate fix,1
14,392,2025-01-04 09:07:27,Related symptom persisted,1
15,426,2025-01-06 18:38:52,Incomplete resolution,1
16,426,2025-01-07 21:45:52,Related symptom persisted,2
17,433,2025-01-10 00:21:05,Issue reoccurred,1
18,433,2025-01-09 15:56:05,User could not validate fix,2
19,440,2025-01-10 11:47:19,Incomplete resolution,1
20,447,2025-01-08 12:34:52,Issue reoccurred,1
21,450,2025-01-07 05:30:19,Issue reoccurred,1
22,466,2025-01-03 21:18:28,Related symptom persisted,1
23,470,2025-01-09 21:22:07,User could not validate fix,1
24,485,2025-01-08 01:59:33,Incomplete resolution,1
25,485,2025-01-10 03:08:33,Incomplete resolution,2
26,486,2025-01-11 13:05:25,Issue reoccurred,1
27,501,2025-01-07 04:19:05,User could not validate fix,1
28,515,2025-01-10 01:41:05,Incomplete resolution,1
29,540,2025-01-06 02:47:29,Issue reoccurred,1
30,585,2025-01-10 19:45:10,User could not validate fix,1
31,617,2025-01-11 08:11:10,Issue reoccurred,1
32,641,2025-01-09 23:29:32,Incomplete resolution,1
33,674,2025-01-10 09:02:28,Incomplete resolution,1
34,675,2025-01-11 11:20:35,Issue reoccurred,1
35,688,2025-01-08 02:48:16,Related symptom persisted,1
36,696,2025-01-11 14:15:12,Related symptom persisted,1
37,709,2025-01-08 19:48:50,User could not validate fix,1
38,728,2025-01-06 05:16:13,User could not validate fix,1
39,736,2025-01-05 08:38:34,User could not validate fix,1
40,745,2025-01-05 16:37:00,User could not validate fix,1
41,779,2025-01-08 05:30:49,Issue reoccurred,1
42,814,2025-01-09 15:26:08,Related symptom persisted,1
43,847,2025-01-09 22:23:13,User could not validate fix,1
44,847,2025-01-11 03:26:13,Issue reoccurred,2
45,900,2025-01-06 23:33:18,Related symptom persisted,1
46,928,2025-01-11 13:10:14,User could not validate fix,1
47,928,2025-01-07 18:03:14,Issue reoccurred,2
48,941,2025-01-13 05:43:43,Incomplete resolution,1
49,947,2025-01-13 09:31:32,Related symptom persisted,1
50,947,2025-01-07 23:44:32,Related symptom persisted,2
51,989,2025-01-07 12:15:05,Issue reoccurred,1
52,991,2025-01-12 20:01:16,User could not validate fix,1
53,1011,2025-01-13 01:00:07,Related symptom persisted,1
54,1030,2025-01-12 00:41:00,Incomplete resolution,1
55,1049,2025-01-13 16:30:14,Incomplete resolution,1
56,1056,2025-01-12 10:24:46,Related symptom persisted,1
57,1056,2025-01-11 02:29:46,User could not validate fix,2
58,1081,2025-01-11 03:43:29,Incomplete resolution,1
59,1122,2025-01-06 12:36:39,User could not validate fix,1
60,1126,2025-01-11 02:59:17,Related symptom persisted,1
61,1163,2025-01-12 13:45:10,Incomplete resolution,1
62,1195,2025-01-12 19:28:48,Incomplete resolution,1
63,1232,2025-01-13 23:44:50,Related symptom persisted,1
64,1271,2025-01-11 02:40:10,Issue reoccurred,1
65,1273,2025-01-13 14:21:08,Incomplete resolution,1
66,1275,2025-01-11 07:31:19,Incomplete resolution,1
67,1281,2025-01-09 17:53:22,Issue reoccurred,1
68,1312,2025-01-09 23:03:34,User could not validate fix,1
69,1342,2025-01-08 05:11:53,User could not validate fix,1
70,1366,2025-01-09 11:06:05,Issue reoccurred,1
71,1381,2025-01-10 17:44:33,User could not validate fix,1
72,1518,2025-01-10 12:27:03,User could not validate fix,1
73,1520,2025-01-15 17:46:13,User could not validate fix,1
74,1520,2025-01-15 02:32:13,Incomplete resolution,2
75,1520,2025-01-16 12:35:13,Issue reoccurred,3
76,1647,2025-01-11 14:45:42,Issue reoccurred,1
77,1707,2025-01-13 03:31:21,Issue reoccurred,1
78,1710,2025-01-12 07:46:01,User could not validate fix,1
79,1735,2025-01-12 22:35:53,User could not validate fix,1
80,1739,2025-01-11 05:37:11,Related symptom persisted,1
81,1776,2025-01-17 04:52:43,Related symptom persisted,1
82,1804,2025-01-11 21:33:28,Incomplete resolution,1
83,1804,2025-01-15 23:41:28,User could not validate fix,2
84,1867,2025-01-16 00:38:01,User could not validate fix,1
85,1914,2025-01-14 09:21:34,Issue reoccurred,1
86,1918,2025-01-14 03:01:26,Issue reoccurred,1
87,1918,2025-01-17 19:08:26,User could not validate fix,2
88,1926,2025-01-13 14:43:07,Related symptom persisted,1
89,1936,2025-01-11 05:32:24,Incomplete resolution,1
90,1964,2025-01-12 13:53:24,User could not validate fix,1
91,1996,2025-01-14 01:18:11,User could not validate fix,1
92,2022,2025-01-16 09:52:52,User could not validate fix,1
93,2056,2025-01-16 12:55:36,User could not validate fix,1
94,2113,2025-01-15 03:40:52,User could not validate fix,1
95,2123,2025-01-15 01:17:10,User could not validate fix,1
96,2145,2025-01-17 20:54:03,User could not validate fix,1
97,2150,2025-01-15 15:23:43,Issue reoccurred,1
98,2167,2025-01-19 09:45:52,Incomplete resolution,1
99,2168,2025-01-17 05:46:40,Related symptom persisted,1
100,2168,2025-01-16 16:19:40,User could not validate fix,2
101,2186,2025-01-15 06:20:26,Issue reoccurred,1
102,2218,2025-01-14 13:30:09,Incomplete resolution,1
103,2218,2025-01-18 07:25:09,Incomplete resolution,2
104,2228,2025-01-19 22:38:55,Issue reoccurred,1
105,2228,2025-01-19 12:47:55,Issue reoccurred,2
106,2228,2025-01-20 06:41:55,Related symptom persisted,3
107,2293,2025-01-18 04:56:15,Issue reoccurred,1
108,2293,2025-01-18 14:27:15,Issue reoccurred,2
109,2320,2025-01-15 08:15:51,Issue reoccurred,1
110,2331,2025-01-18 13:56:02,Related symptom persisted,1
111,2343,2025-01-16 16:58:47,User could not validate fix,1
112,2350,2025-01-19 00:15:11,User could not validate fix,1
113,2350,2025-01-17 09:14:11,Related symptom persisted,2
114,2366,2025-01-14 02:03:19,Issue reoccurred,1
115,2373,2025-01-15 16:10:01,Issue reoccurred,1
116,2382,2025-01-17 17:31:20,Related symptom persisted,1
117,2385,2025-01-17 00:40:26,Related symptom persisted,1
118,2388,2025-01-17 14:04:35,Issue reoccurred,1
119,2401,2025-01-18 23:11:02,Incomplete resolution,1
120,2435,2025-01-19 22:56:53,Issue reoccurred,1
121,2476,2025-01-14 02:01:15,Incomplete resolution,1
122,2486,2025-01-20 19:28:08,User could not validate fix,1
123,2494,2025-01-18 17:44:44,Incomplete resolution,1
124,2499,2025-01-19 19:48:38,Incomplete resolution,1
125,2510,2025-01-17 18:56:27,Issue reoccurred,1
126,2548,2025-01-13 23:59:06,Incomplete resolution,1
127,2566,2025-01-16 06:41:20,User could not validate fix,1
128,2567,2025-01-17 12:41:48,Incomplete resolution,1
129,2570,2025-01-20 18:02:16,Related symptom persisted,1
130,2572,2025-01-16 12:09:59,Issue reoccurred,1
131,2596,2025-01-21 10:15:51,Related symptom persisted,1
132,2602,2025-01-17 22:18:31,User could not validate fix,1
133,2628,2025-01-21 09:49:37,Related symptom persisted,1
134,2707,2025-01-17 11:38:03,Related symptom persisted,1
135,2712,2025-01-16 03:29:31,Issue reoccurred,1
136,2712,2025-01-19 17:07:31,Issue reoccurred,2
137,2723,2025-01-19 04:39:29,User could not validate fix,1
138,2790,2025-01-20 12:24:28,Related symptom persisted,1
139,2804,2025-01-19 15:59:10,Incomplete resolution,1
140,2807,2025-01-16 13:58:16,Issue reoccurred,1
141,2808,2025-01-16 05:51:08,User could not validate fix,1
142,2808,2025-01-20 05:11:08,Incomplete resolution,2
143,2827,2025-01-16 15:19:56,User could not validate fix,1
144,2868,2025-01-18 13:54:21,Incomplete resolution,1
145,2878,2025-01-22 03:34:13,User could not validate fix,1
146,2904,2025-01-20 20:12:20,User could not validate fix,1
147,2929,2025-01-22 02:27:05,Issue reoccurred,1
148,2964,2025-01-19 21:09:49,Issue reoccurred,1
149,2964,2025-01-22 15:32:49,Issue reoccurred,2
150,3002,2025-01-16 22:16:15,Incomplete resolution,1
151,3033,2025-01-20 06:10:36,Incomplete resolution,1
152,3041,2025-01-18 17:02:30,Issue reoccurred,1
153,3047,2025-01-22 19:35:58,Issue reoccurred,1
154,3081,2025-01-18 05:41:43,Incomplete resolution,1
155,3082,2025-01-17 20:19:55,User could not validate fix,1
156,3218,2025-01-21 19:27:31,Issue reoccurred,1
157,3252,2025-01-23 18:55:02,Incomplete resolution,1
158,3252,2025-01-19 21:45:02,Related symptom persisted,2
159,3269,2025-01-18 22:05:38,User could not validate fix,1
160,3273,2025-01-19 14:22:34,User could not validate fix,1
161,3275,2025-01-22 19:29:33,Issue reoccurred,1
162,3282,2025-01-24 19:50:31,Issue reoccurred,1
163,3304,2025-01-24 00:28:01,Related symptom persisted,1
164,3308,2025-01-20 07:43:05,Incomplete resolution,1
165,3308,2025-01-18 04:32:05,Incomplete resolution,2
166,3318,2025-01-20 00:19:52,User could not validate fix,1
167,3333,2025-01-23 11:09:33,Issue reoccurred,1
168,3393,2025-01-24 22:05:03,User could not validate fix,1
169,3439,2025-01-25 04:32:35,User could not validate fix,1
170,3439,2025-01-21 19:01:35,Incomplete resolution,2
171,3440,2025-01-25 03:29:00,User could not validate fix,1
172,3448,2025-01-22 07:23:37,Related symptom persisted,1
173,3488,2025-01-22 02:31:07,User could not validate fix,1
174,3588,2025-01-24 20:57:58,Related symptom persisted,1
175,3611,2025-01-19 07:01:30,Issue reoccurred,1
176,3622,2025-01-20 18:03:56,User could not validate fix,1
177,3633,2025-01-22 00:39:29,Incomplete resolution,1
178,3643,2025-01-20 13:06:26,Issue reoccurred,1
179,3652,2025-01-23 22:50:43,User could not validate fix,1
180,3654,2025-01-21 04:04:47,User could not validate fix,1
181,3676,2025-01-23 13:23:29,Incomplete resolution,1
182,3708,2025-01-23 19:03:42,Incomplete resolution,1
183,3720,2025-01-28 08:03:58,Incomplete resolution,1
184,3745,2025-01-20 12:07:55,User could not validate fix,1
185,3745,2025-01-26 07:39:55,User could not validate fix,2
186,3760,2025-01-23 11:04:38,Related symptom persisted,1
187,3760,2025-01-19 19:26:38,Incomplete resolution,2
188,3761,2025-01-25 07:29:49,Issue reoccurred,1
189,3761,2025-01-26 12:28:49,Incomplete resolution,2
190,3765,2025-01-21 22:41:20,Issue reoccurred,1
191,3767,2025-01-21 18:33:12,Related symptom persisted,1
192,3783,2025-01-24 12:04:26,User could not validate fix,1
193,3796,2025-01-22 18:16:31,Related symptom persisted,1
194,3802,2025-01-24 21:40:50,Incomplete resolution,1
195,3802,2025-01-26 03:55:50,Issue reoccurred,2
196,3809,2025-01-22 10:10:41,User could not validate fix,1
197,3809,2025-01-25 21:54:41,Issue reoccurred,2
198,3825,2025-01-25 17:50:39,Related symptom persisted,1
199,3834,2025-01-23 08:49:53,Issue reoccurred,1
200,3834,2025-01-25 07:00:53,Incomplete resolution,2
201,3834,2025-01-27 22:14:53,Issue reoccurred,3
202,3848,2025-01-24 07:58:20,Issue reoccurred,1
203,3857,2025-01-22 19:41:57,Issue reoccurred,1
204,3877,2025-01-21 22:49:19,User could not validate fix,1
205,3931,2025-01-25 09:47:55,Incomplete resolution,1
206,3931,2025-01-22 05:09:55,Issue reoccurred,2
207,3954,2025-01-24 02:38:11,User could not validate fix,1
208,3985,2025-01-21 03:42:22,Incomplete resolution,1
209,4020,2025-01-22 04:31:22,Related symptom persisted,1
210,4020,2025-01-22 11:25:22,User could not validate fix,2
211,4022,2025-01-29 01:22:52,Incomplete resolution,1
