return_id;ticket_id;returned_from_group_id;returned_to_group_id;return_timestamp;return_reason;wrong_group_flag;missing_minimum_data_flag
1;55;5;1;2025-01-01 14:55:40;Wrong categorization;0;1
2;67;7;1;2025-01-01 16:38:25;Insufficient reproduction steps;1;0
3;83;5;1;2025-01-01 17:32:57;Missing diagnostic evidence;1;0
4;91;5;1;2025-01-01 15:07:54;Wrong categorization;0;0
5;94;5;1;2025-01-01 12:45:04;Wrong support group;0;1
6;98;5;1;2025-01-01 18:49:16;Missing user impact / urgency;1;0
7;127;6;1;2025-01-01 13:56:48;Missing diagnostic evidence;1;0
8;157;5;1;2025-01-01 11:54:59;Wrong categorization;0;1
9;191;6;1;2025-01-01 13:15:12;Already solved in N1;1;0
10;220;2;1;2025-01-02 20:54:01;Missing user impact / urgency;0;0
11;230;6;1;2025-01-02 15:20:40;Already solved in N1;1;0
12;250;8;1;2025-01-02 19:55:12;Wrong categorization;1;0
13;254;2;1;2025-01-02 17:42:22;Already solved in N1;0;1
14;260;7;1;2025-01-02 17:40:14;Already solved in N1;1;0
15;266;3;1;2025-01-02 17:40:27;Already solved in N1;1;0
16;293;6;1;2025-01-02 15:38:01;Insufficient reproduction steps;0;1
17;322;2;1;2025-01-02 09:08:52;Wrong categorization;1;0
18;362;4;1;2025-01-02 23:44:16;Missing diagnostic evidence;0;1
19;363;2;1;2025-01-02 13:13:53;Missing diagnostic evidence;1;0
20;376;8;1;2025-01-02 15:37:30;Wrong support group;1;1
21;384;2;1;2025-01-02 20:50:09;Wrong support group;0;1
22;387;4;1;2025-01-02 20:46:49;Wrong support group;1;0
23;396;6;1;2025-01-03 15:43:41;Already solved in N1;1;0
24;455;8;1;2025-01-03 17:20:23;Wrong support group;1;0
25;476;8;1;2025-01-03 15:40:49;Wrong support group;0;1
26;478;3;1;2025-01-03 16:50:23;Wrong categorization;0;1
27;499;3;1;2025-01-03 15:51:20;Wrong categorization;0;1
28;508;6;1;2025-01-03 12:13:45;Wrong support group;0;0
29;510;3;1;2025-01-03 14:16:35;Wrong support group;0;1
30;561;3;1;2025-01-03 13:41:13;Missing user impact / urgency;1;0
31;567;2;1;2025-01-03 13:20:40;Missing diagnostic evidence;1;0
32;586;3;1;2025-01-03 21:51:08;Insufficient reproduction steps;0;1
33;592;2;1;2025-01-03 18:00:43;Missing user impact / urgency;1;0
34;608;3;1;2025-01-04 15:17:18;Wrong support group;1;0
35;637;2;1;2025-01-04 16:03:46;Insufficient reproduction steps;0;0
36;664;6;1;2025-01-04 18:46:55;Insufficient reproduction steps;1;0
37;670;3;1;2025-01-04 15:35:17;Already solved in N1;1;0
38;675;7;1;2025-01-04 14:59:42;Wrong support group;1;0
39;700;7;1;2025-01-04 16:38:02;Missing diagnostic evidence;1;0
40;722;5;1;2025-01-04 20:58:11;Missing user impact / urgency;0;0
41;725;5;1;2025-01-04 15:44:07;Missing diagnostic evidence;0;1
42;732;8;1;2025-01-04 14:19:42;Insufficient reproduction steps;1;0
43;743;3;1;2025-01-04 15:48:39;Insufficient reproduction steps;1;0
