claim_id;ticket_id;claim_timestamp;claim_channel;claim_reason;claim_sequence
1;4;2025-01-02 12:26:32;Portal;Service still unavailable;1
2;4;2025-01-03 05:07:32;Phone;Ticket taking too long;2
3;10;2025-01-01 16:51:13;Portal;Service still unavailable;1
4;11;2025-01-02 07:31:47;Phone;No update provided;1
5;11;2025-01-03 13:02:47;Phone;Issue not solved;2
6;30;2025-01-02 09:16:54;Phone;Service still unavailable;1
7;34;2025-01-03 08:30:52;Portal;Urgency increased by user;1
8;60;2025-01-01 19:24:29;Portal;Urgency increased by user;1
9;74;2025-01-02 17:34:41;Phone;Urgency increased by user;1
10;78;2025-01-02 09:22:25;Phone;Service still unavailable;1
11;82;2025-01-02 20:46:57;Email;Urgency increased by user;1
12;95;2025-01-02 02:32:21;Portal;Issue not solved;1
13;95;2025-01-01 18:10:21;Email;Service still unavailable;2
14;102;2025-01-02 02:26:45;Portal;Service still unavailable;1
15;102;2025-01-01 23:55:45;Portal;Ticket taking too long;2
16;102;2025-01-01 21:18:45;Email;Issue not solved;3
17;105;2025-01-02 06:44:04;Phone;No update provided;1
18;107;2025-01-02 12:15:05;Phone;Service still unavailable;1
19;112;2025-01-01 21:59:57;Phone;Urgency increased by user;1
20;112;2025-01-02 03:34:57;Portal;Ticket taking too long;2
21;112;2025-01-02 13:01:57;Phone;No update provided;3
22;112;2025-01-02 12:09:57;Email;Ticket taking too long;4
23;119;2025-01-02 18:54:17;Email;Urgency increased by user;1
24;119;2025-01-01 18:57:17;Portal;Service still unavailable;2
25;119;2025-01-03 01:57:17;Email;No update provided;3
26;122;2025-01-01 22:31:13;Email;Service still unavailable;1
27;139;2025-01-02 09:05:58;Email;Ticket taking too long;1
28;141;2025-01-01 16:35:00;Portal;Urgency increased by user;1
29;141;2025-01-04 10:25:00;Portal;Service still unavailable;2
30;153;2025-01-02 01:33:01;Portal;Service still unavailable;1
31;153;2025-01-03 13:26:01;Email;Service still unavailable;2
32;154;2025-01-01 17:45:42;Portal;Issue not solved;1
33;157;2025-01-01 18:00:31;Portal;Ticket taking too long;1
34;157;2025-01-04 10:16:31;Phone;No update provided;2
35;157;2025-01-03 03:32:31;Phone;Service still unavailable;3
36;169;2025-01-03 08:07:02;Portal;Urgency increased by user;1
37;171;2025-01-02 10:55:49;Phone;Service still unavailable;1
38;171;2025-01-01 13:18:49;Portal;Urgency increased by user;2
39;179;2025-01-03 15:02:43;Phone;Ticket taking too long;1
40;194;2025-01-02 13:32:07;Phone;Ticket taking too long;1
41;194;2025-01-04 08:49:07;Email;Issue not solved;2
42;194;2025-01-02 18:03:07;Phone;Urgency increased by user;3
43;195;2025-01-01 16:21:40;Phone;Ticket taking too long;1
44;198;2025-01-01 17:21:13;Phone;Urgency increased by user;1
45;209;2025-01-02 04:48:20;Email;Issue not solved;1
